"Course Number",Name
01:198:105,"Great Insights in Computer Science"
01:198:107,"Computing for Math and the Sciences"
01:198:110,"Principles of Computer Science"
01:198:111,"Introduction to Computer Science"
01:198:112,"Data Structures"
01:198:142,"Data 101: Data Literacy"
01:198:143,"Data 101: Data Literacy  Hybrid Version*"
01:198:170,"Computer Application for Business"
01:198:195,"Honors Seminar in Computer Science"
01:198:205,"Introduction to Discrete Structures I"
01:198:206,"Introduction to Discrete Structures II"
01:198:210,"Data management for Data Science"
01:198:211,"Computer Architecture"
01:198:213,"Software Methodology"
01:198:214,"Systems Programming"
01:198:310,"Data Science Capstone Project"
01:198:314,"Principles of Programming Languages"
01:198:323,"Numerical Analysis and Computing"
01:198:324,"Numerical Methods"
01:198:334,"Introduction to Imaging and Multimedia"
01:198:336,"Principles of Information and Data Management"
01:198:344,"Design and Analysis of Computer Algorithms"
01:198:352,"Internet Technology"
01:198:405,"Seminar in Computers and Society"
01:198:411,"Computer Architecture II"
01:198:415,Compilers
01:198:416,"Operating Systems Design"
01:198:417,"Distributed Systems: Concepts and Design"
01:198:419,"Computer Security"
01:198:424,"Modeling and Simulation of Continuous Systems"
01:198:425,"BrainInspired Computing"
01:198:428,"Introduction to Computer Graphics"
01:198:431,"Software Engineering"
01:198:437,"Database Systems Implementation"
01:198:439,"Introduction to Data Science"
01:198:440,"Introduction to Artificial Intelligence"
01:198:442,"Topics in Computer Science"
01:198:443,"Topics in Computer Science"
01:198:444,"Topics in Computer Science"
01:198:445,"Topics in Computer Science"
01:198:452,"Formal Languages and Automata"
01:198:460,"Introduction to Computational Robotics"
01:198:461,"Machine Learning Principles"
01:198:462,"Introduction to Deep Learning"
01:198:493,"Independent Study in Computer Science"
01:198:494,"Independent Study in Computer Science"
